Source Title:,,Search String:,Result:
the quick brown fox jumps over the lazy dog,a,passed
the quick brown fox jumps over the lazy dog,b,passed
the quick brown fox jumps over the lazy dog,c,passed
the quick brown fox jumps over the lazy dog,d,passed
the quick brown fox jumps over the lazy dog,x,passed
the quick brown fox jumps over the lazy dog,y,passed
the quick brown fox jumps over the lazy dog,z,passed
Sigmund Freud - Dream Psychology,random,passed
Sigmund Freud - Dream Psychology,insignificant,passed
Sigmund Freud - Dream Psychology,complex,passed
Sigmund Freud - Dream Psychology,mother,passed
Sigmund Freud - Dream Psychology,his mother,passed
Sigmund Freud - Dream Psychology,death,passed
Sigmund Freud - Dream Psychology,unconscious,passed
Sigmund Freud - Dream Psychology,psychic,passed
Sigmund Freud - Dream Psychology,sexual,passed
Sigmund Freud - Dream Psychology,non-sexual,passed
Sigmund Freud - Dream Psychology,repressed,passed
Sigmund Freud - Dream Psychology,unrepressed,passed
King James Bible,begat,passed
King James Bible,oxen,passed
King James Bible,tax,passed
King James Bible,good,passed
King James Bible,evil,passed
King James Bible,wicked,passed
King James Bible,son,passed
King James Bible,honour,passed
King James Bible,kindness,passed
